Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/axi_gpio_0_gpio_io_o,design_1_i/lepton_vospi_0_axis_m_tlast,design_1_i/lepton_vospi_0_axis_m_tuser,design_1_i/lepton_vospi_0_line_out[11:0],design_1_i/lepton_vospi_0_seg_num[3:0],design_1_i/lepton_vospi_0_axis_m_tvalid,design_1_i/lepton_vospi_0_axis_m_tdata[31:0],design_1_i/Net,design_1_i/lepton_vospi_0_line_val,design_1_i/lepton_vospi_0_current_state_wire[3:0],design_1_i/lepton_vospi_0_shift_reg_wire[15:0],design_1_i/lepton_vospi_0_mode[3:0]
323,67,0,1,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000100011101,1
324,68,0,0,0,1,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000100011101,1
325,69,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000000100011101,1
326,70,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000001000111010,1
327,71,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000001000111010,1
328,72,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000001000111010,1
329,73,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000001000111010,1
330,74,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000001000111010,1
331,75,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000010001110100,1
332,76,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000010001110100,1
333,77,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000010001110100,1
334,78,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000010001110100,1
335,79,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000010001110100,1
336,80,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000100011101000,1
337,81,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000100011101000,1
338,82,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000100011101000,1
339,83,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000100011101000,1
340,84,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0000100011101000,1
341,85,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0001000111010000,1
342,86,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0001000111010000,1
343,87,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0001000111010000,1
344,88,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0001000111010000,1
345,89,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0001000111010000,1
346,90,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0010001110100000,1
347,91,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0010001110100000,1
348,92,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0010001110100000,1
349,93,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0010001110100000,1
350,94,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0010001110100000,1
351,95,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0100011101000000,1
352,96,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0100011101000000,1
353,97,0,1,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0100011101000000,1
354,98,0,0,0,0,1,0,0,1875,0000,0,10110111010000000000011101000000,1,0,1,0100011101000000,1
