Sample in Buffer,Sample in Window,TRIGGER,design_1_i/lepton_if_0_sclk,design_1_i/lepton_if_0_ss,design_1_i/miso_0_1,design_1_i/reset_0_1,design_1_i/spi_master_0_line_val,design_1_i/spi_master_0_enb,design_1_i/spi_master_0_line_out[7:0],design_1_i/spi_master_0_seg_num[0:3],design_1_i/spi_master_0_shift_reg[0:15],design_1_i/spi_master_0_dinb[31:0],design_1_i/spi_master_0_current_state_wire[3:0],design_1_i/spi_master_0_web[3:0],design_1_i/spi_master_0_rstb
384,0,0,1,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
385,1,0,1,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
386,2,0,0,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
387,3,0,0,0,1,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
388,4,0,0,0,0,0,0,0,41,0101,1010000000010110,b8100000,1,0,0
389,5,0,1,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
390,6,0,1,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
391,7,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
392,8,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
393,9,0,0,0,0,0,0,0,41,0101,0101000000001011,b8100000,1,0,0
394,10,0,1,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
395,11,0,1,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
396,12,0,0,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
397,13,0,0,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
398,14,0,0,0,0,0,0,0,41,0101,0010100000000101,b8100000,1,0,0
399,15,1,1,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
400,16,0,1,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
401,17,0,0,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
402,18,0,0,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
403,19,0,0,0,0,0,1,0,40,0101,0001010000000010,b8100000,2,0,0
404,20,0,1,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
405,21,0,1,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
406,22,0,0,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
407,23,0,0,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
408,24,0,0,0,0,0,0,0,40,0101,0000101000000001,b8100000,2,0,0
409,25,0,1,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
410,26,0,1,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
411,27,0,0,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
412,28,0,0,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
413,29,0,0,0,0,0,0,0,40,0101,0000010100000000,b8100000,2,0,0
